;speaker
6224;Gregory L. Weaver - Chief Financial Officer & Senior Vice President
6257;Gail Page - President & CEO
6271;Unknown
6282;Donald Munroe - VP, Research & Development, Chief Scientific Officer
6302;Eric Schoen - Chief Accounting Officer
6306;Michael Casey - Executive Vice-President and Chief Financial Officer
6319;Howard Schultz - Chairman
6337;Jim Donald - President and Chief Executive Officer
6382;JoAnn DeGrande - Director, Investor Relations
6383;Adam Miller - Founder and Chief Executive Officer
6385;Perry Wallack - Chief Financial Officer
6508;Glenn Oclassen - President and CEO
6536;Leone Patterson - Vice President and CFO
6569;Omar Khan - Co-CEO
6578;Gavin Kim - Chief Product Officer
6634;Suhai Ji - CFO
6691;Will Jiang - VP, Strategy
6697;Robert A. Cascella - Chief Executive Officer, President and Director
6708;Carl W. Hull - Former Chairman of the Board, Chief Executive Officer and President
6724;Glenn P. Muir - Chief Financial Officer, Executive Vice President of Finance & Administration and Director
6729;Peter K. Soltani - Senior Vice President and General Manager of Breast Health Line of Business
6811;Deborah R. Gordon - Vice President of Investor Relations
6891;Warren Jenson - EVP, CFO, Chief Administrative Officer 
6911;Larry Probst - Chairman, CEO 
6939;Frank Gibeau - EVP, General Manager of North American Publishing 
7086;Jamie Sokalsky - EVP and CFO 
7098;Alex Davidson - EVP, Exploration and Corporate Development 
7103;Greg Wilkins - President and CEO 
7138;Peter Kinver - EVP and COO 
7301; Jeffrey T. Soukup, Executive Vice President and COO 
7310;Lowell R. Selvin, Chairman and CEO 
7320; Dan Miller, Senior Vice President and CFO
7423;Nelson Chai - Chief Financial Officer
7454;John Thain - Chairman and Chief Executive Officer
7497;Steve Hagge - Executive Vice President, Chief Operating Officer
7501;Peter Pfeiffer - President, Chief Executive Officer
7632;Robert P. Kelly - Chairman of the Board & Chief Executive Officer
7652;Ronald P. O'Hanley - Vice Chairman
7668;Thomas P. Gibbons - Chief Financial Officer
7671;James P. Palermo - Vice Chairman
7686;Gerald L. Hassell - President & Director
7755;Karen B. Peetz - Chief Executive Officer - Issuer, Treasury & Broker-Dealer Services
7778;Timothy F. Keaney - Co-Chief Executive Officer
7786;Richard Brueckner - Chairman & Chief Executive Officer Pershing, LLC
7825;Brian G. Rogan - Chief Risk Officer
7860;David Lamere - Vice Chairman
7896;Larry Culp - President & CEO
7923;Dan Comas - EVP & CFO
8049;Paul W. Jones - Chairman of the Board, President, Chief Executive Officer 
8075;Terry M. Murphy - Chief Financial Officer, Executive Vice President
8207;William J. Stuart - Chief Financial Officer, Senior VP of Finance and Treasurer
8215;William J. Leighton III, Ph.D. - Chief Executive Officer, President
8231;William G. Currie - Executive Chairman
8243;Michael R. Cole - Chief Financial Officer
8262;Mike Glenn - Chief Executive Officer and President 
8272;James E. Rohr - Chairman and Chief Executive Officer 
8285;Richard J. Johnson - Chief Financial Officer
8412;Barry L. McCabe - Chief Financial Officer & Executive Vice President
8419;Andrew B. Cogan - Chief Executive Officer & Director
8503;James Brenn - Chief Financial Officer, Senior Vice President
8533;John Shiely - Chairman of the Board, Chief Executive Officer
8609;Joseph M. Leone - Vice Chairman, Chief Financial Officer
8630;Jeffrey M. Peek - Chairman of the Board, Chief Executive Officer
8674;Alexander T. Mason - President, Chief Operating Officer
8738;Rick Simonson - EVP and CFO
8743;Olli-Pekka Kallasvuo - President and CEO
8755;Bill Seymour - Head of IR
8933;John W. Conway - Chairman and Chief Executive Officer 
8935;Alan W. Rutherford - Vice Chairman and Chief Financial Officer
9031;David W. Thompson  Chairman and Chief Executive Officer 
9037;Garrett E. Pierce  Vice Chairman and Chief Financial Officer 
9185;Rob Davis - Chief Financial Officer
9189;Bob Parkinson - Chairman and CEO
9197;Mary Kay Ladone - VP, Investor Relations
9361;Yanki Margalit  -Chairman, CEO and Founder
9362;Aviram Shemer -CFO
9556;Mark Frey - EVP and CFO
